STOIC51,STOIC05,STOIC62,STOIC74,STOIC71,STOIC76,STOIC80,STOIC54,STOIC67,STOIC02,STOIC68,STOIC79,STOIC72,STOIC61,STOIC81,STOIC53,STOIC01,STOIC66,STOIC75,STOIC69,STOIC52,STOIC73,STOIC82,STOIC70,STOIC77,STOIC64,STOIC63,STOIC78,STOIC04,STOIC55,STOIC03,STOIC65,STOIC97,STOIC99,STOIC98
9601,7947,16209,7832,13409,12319,13989,4996,16446,12868,21850,9575,22263,14989,18801,14535,14484,21611,16344,18520,8874,10905,11233,9967,19944,15679,22661,16725,16142,8913,25992,14771,23326,32738,31455
396,189,1152,554,3307,1410,983,579,1228,1745,5273,605,3397,1067,5755,1993,1270,875,1151,1837,333,982,517,241,28457,956,1501,1016,1342,622,12834,1017,1008,718,952
13633,26024,9059,9394,12427,10112,9894,19287,7895,8882,10874,12086,11686,10658,12308,17987,12425,10286,18380,11664,11174,19686,16857,9824,16563,15992,11608,14778,14028,14636,13430,14448,19656,16542,11780
10268,21973,7782,9871,10371,12348,8369,19574,10579,14032,7122,9090,7892,8124,7047,8737,8879,8492,11131,9271,25274,11169,9684,10371,7751,12267,8289,10977,14287,10344,7043,6983,5911,6516,5399
5500,2789,7122,2642,10570,8584,10483,4140,14303,10126,3946,2851,5170,9075,5433,4331,8177,11202,8416,5643,16778,4948,6261,3586,4386,4637,4618,4759,4179,3492,4191,3736,21222,7020,24545
13395,14630,8261,13953,13357,9685,13029,14272,9946,15423,10349,15048,11582,12824,15746,13445,11857,10723,11921,13725,21049,13474,15987,22962,12556,13547,15625,9695,13478,17825,16360,17695,16376,22557,17486
14248,21903,12626,22385,12999,14144,8979,12779,11408,9218,14011,12816,13884,9527,9463,14209,11380,9830,11604,7251,10514,11984,7687,8228,15276,12905,13013,14758,14574,9034,18751,8912,8214,10261,5412
2973,1168,5619,1719,5363,9061,6562,9470,20330,9310,7694,1705,13526,7354,5885,3683,8864,5861,4822,15241,7642,8164,12397,1353,6755,10545,10466,12835,12200,1353,7156,1508,17515,3409,17811
1418,1779,1495,7914,1372,535,2229,1570,1548,1060,5352,11004,4076,1921,5702,3753,1973,2418,2039,5495,695,2955,4313,16257,4696,3749,4168,4558,3996,20037,4248,14492,1547,10866,3128
5589,5408,9606,7011,5711,6541,9132,6670,11158,7119,5289,9443,4685,9482,4785,5816,12192,9486,10795,11847,5368,7761,10413,9365,4438,8994,8685,10127,11372,8417,6435,9493,18103,19277,15957
7379,3175,10042,6656,9183,10627,8348,2970,14587,7427,13723,6880,12373,8646,14248,10250,8062,13147,11188,10443,5968,8970,8528,8001,17374,11466,10828,10464,7739,7376,16269,10685,13565,19127,14345
7234,2350,13917,3736,6256,10858,11410,5198,12126,11963,4432,5722,5997,11796,3999,4649,13204,8330,8643,12235,4128,7818,9306,5972,3351,8881,7577,11004,11119,4377,4595,6128,14530,13500,18751
6099,2734,6266,4273,7429,6243,7519,6454,8805,6944,6178,4404,6911,5879,6513,7014,7734,7269,7475,8684,5405,11388,9766,4269,6306,7526,5082,8638,8306,4934,6233,4227,16970,12033,13462
7810,6821,11711,7832,7887,9549,12552,4655,8254,10568,11678,7011,10747,8518,10101,7814,7317,7867,6486,9654,11172,5487,8141,8511,14209,8089,13739,10363,9185,4775,11883,5929,12328,10010,16877
7654,13295,5081,4745,6775,6539,7434,5206,8515,6227,7194,4839,6940,8949,10531,8502,7486,7114,9640,7160,14206,6487,7814,5851,10382,6592,6890,5090,4872,6886,8261,5534,11798,7572,11747
4807,11805,2289,4513,3996,5656,3104,13585,2661,6783,2470,2945,3283,4085,2331,4287,3252,2239,3213,3237,8925,3862,3445,2954,4653,3912,3423,3572,7460,2677,5454,2605,4071,4030,3341
6820,13334,4457,8586,4961,4233,4067,10747,4770,5842,6118,6640,5850,5525,6387,6578,6503,4612,8223,7861,7105,8402,7819,7689,6259,8605,6563,7422,11093,6271,7878,5576,9534,12824,5681
4586,12227,4628,6830,3969,4633,3683,2758,4539,2915,5262,4484,2750,2837,3871,4923,3482,3549,4254,3406,1524,4897,3039,3991,4451,3770,3675,4092,3038,6397,3969,6232,5331,9640,4094
681,1018,1880,1403,2081,3309,1790,5212,4082,6222,3616,1229,4893,992,1204,1170,2485,2682,1496,4344,513,4528,1938,1130,4670,4351,7041,8429,11620,753,3501,1857,2972,2648,2614
7601,4819,11222,5355,8472,7002,6093,4895,7520,8490,9727,6979,8839,7741,7022,5660,5844,4332,4059,5440,3836,6126,4931,8752,11488,8847,7125,8943,11255,7100,9720,9830,6411,8222,11485
3109,3413,2852,5031,4177,3642,4174,6400,4851,2875,11026,6064,11095,3629,8332,9220,4431,5406,5228,11384,10327,6477,8697,11327,9253,4746,8548,5562,4731,11416,6956,7984,5053,8724,5152
4681,2645,4413,7145,3809,5085,4831,9491,4506,3402,3883,9893,6648,3591,2248,2963,4555,4066,2444,2434,1339,4159,3164,2175,11191,6115,4317,7124,5626,1100,9176,1319,1039,1274,1403
165,41,10805,87,170,1128,2520,129,243,142,278,6948,223,7227,5766,189,291,248,218,222,298,231,2260,106,7490,5778,5166,7836,224,112,283,8167,245,318,244
