KATIE25,STOIC32,STOIC45,STOIC11,STOIC12,STOIC13,STOIC14,STOIC15,STOIC21,STOIC22,STOIC23,STOIC24,STOIC25,STOIC30,STOIC31,STOIC33,STOIC34,STOIC35,STOIC36,STOIC37,STOIC39,STOIC40,STOIC41,STOIC42,STOIC43,STOIC44,STOIC46,STOIC47,STOIC48,STOIC49,STOIC50,STOIC92,STOIC93,STOIC94,STOIC95,STOIC96
2366,969,1095,143,66,166,195,89,348,381,541,37,1614,1034,235,285,113,752,400,181,132,258,715,385,347,1117,163,239,752,239,1858,381,668,617,341,607
1103,759,996,225,42,132,145,31,249,261,205,18,754,850,148,292,47,426,352,138,117,129,821,212,223,953,212,267,349,95,1303,512,262,296,188,432
3674,2732,2893,401,97,238,595,121,247,878,618,64,2374,2103,144,393,94,1764,230,229,189,322,937,410,403,3288,107,1120,1144,322,4815,665,647,1541,504,1339
39336,25041,24498,4222,515,3371,4196,2424,7909,5569,12728,774,24858,10390,4100,10959,3839,11838,5012,2637,1932,3808,19393,8181,3447,17702,6481,5501,6473,3135,26678,23065,6728,6079,7421,9993
14609,10573,12548,3141,964,701,1150,713,5109,4225,5259,441,10079,6613,3527,5300,2055,4753,3301,1303,889,1393,13534,3272,2006,7940,4687,3074,4900,1840,10683,15100,4697,3940,5033,4434
3423,2221,1278,150,316,151,754,228,424,643,974,553,2331,948,357,605,290,1029,224,338,389,396,934,610,394,1347,285,521,871,354,2069,914,776,699,863,829
5744,4725,1023,672,198,136,524,294,2016,392,2793,520,3993,722,1319,2060,802,1866,1090,659,601,564,3155,1695,1709,4589,1054,863,818,655,2572,2883,1486,1500,2040,1110
18679,13242,3264,1711,531,396,1386,673,6632,1571,9860,1354,13664,3195,4407,7005,2438,6270,3296,2152,1714,1731,10500,5298,5128,15910,3580,3123,3700,2410,8564,9681,5459,4640,7617,4019
4110,2068,1967,462,183,133,309,199,849,861,879,145,3345,1518,519,923,349,1159,434,303,251,477,1145,646,518,1760,357,650,1296,327,2810,1245,908,795,1072,1247
18422,9903,4333,1203,1033,489,1105,810,2412,1616,6651,884,12516,2471,2029,3206,701,5889,1482,1497,872,1748,6554,3180,3973,13636,1084,2608,5500,1308,11160,3680,4581,5937,3172,4341
18473,9368,7863,779,572,487,998,320,1889,3382,3562,337,12338,5088,1620,3340,931,4254,1030,879,489,1039,3969,2225,1365,5716,1180,2555,4290,945,11258,3795,2653,2568,3226,3405
16127,8531,8678,721,498,497,913,351,1422,3624,3135,410,10309,5043,1210,3262,992,3540,692,676,526,832,3221,1948,901,4385,1031,2235,3514,944,9134,3169,2652,2125,2998,2868
28808,15086,10004,1306,888,734,1584,608,4658,4733,7071,756,19884,7303,3428,5685,1718,7404,2357,1813,1031,1994,8288,4419,3020,12316,2497,4248,7401,1864,16537,7510,4779,4575,6020,5800
13011,6682,4459,642,490,388,807,313,1912,2277,3023,312,9150,3521,1460,2361,674,3397,978,847,440,864,3749,1964,1277,5159,1068,1971,3506,784,8128,3479,2107,2045,2655,2934
7282,3892,1900,412,261,190,501,160,1266,1282,1772,184,5449,1938,927,1431,448,2058,649,498,286,549,2382,1225,750,3184,647,1038,1988,480,4196,2231,1273,1225,1714,1785
1952,1007,1353,63,136,101,119,35,274,441,236,52,1363,507,344,218,64,502,238,122,64,163,326,280,327,730,66,358,762,87,1846,223,703,673,283,691
76359,32865,50306,47550,39326,30402,17639,13158,39818,48636,61990,15102,55705,41616,61841,56228,36108,68655,51660,12429,9541,11419,47262,18757,42787,47899,49010,14473,48399,11453,22567,45025,36270,45147,19410,26350
17492,12128,3170,1748,515,419,1295,715,6866,1550,9618,1327,13149,3288,4163,6871,2406,5912,3518,2292,1780,1780,10678,5315,5097,16076,3515,3033,3676,2369,8443,9991,5580,4699,7948,4002
23030,13076,10078,993,1277,755,3271,785,2751,4381,5972,1915,14922,6469,2238,4535,1664,6387,1482,1350,1519,1506,6059,3616,2497,8574,1682,3244,5163,2122,12029,5883,5470,4261,5469,4792
4249,1502,2988,38,25,21,58,36,33,387,78,21,2706,1092,110,110,7,798,30,61,54,176,71,129,244,558,13,285,1723,163,2788,23,257,520,389,855
2560,745,2032,331,32,12,19,24,48,354,41,9,1679,1071,83,86,19,450,43,34,53,97,161,85,167,386,14,363,1196,87,1736,114,122,247,296,630
1540,601,1270,23,17,16,26,17,10,166,39,9,1028,644,28,64,4,265,30,38,20,66,37,60,129,204,7,173,620,92,1091,13,130,287,81,316
1713,841,1060,29,23,8,23,6,12,113,43,8,1081,788,40,70,8,290,23,23,16,67,34,45,84,190,8,137,630,214,909,15,107,169,109,305
28,30,44,13,4,7,11,4,9,7,13,4,20,777,21,24,17,47,671,461,269,409,1214,572,782,942,13,17,36,6,21,24,54,52,68,18
825,383,343,84,55,7,53,20,122,54,270,30,520,605,112,40,20,392,407,263,150,268,780,354,436,907,20,143,146,25,681,103,141,151,109,225
812,271,647,190,18,12,29,21,83,49,101,11,489,688,87,33,23,247,431,290,165,333,933,360,493,732,48,123,246,12,590,168,100,63,68,218
1260,946,213,23,33,5,23,36,95,21,157,40,832,2469,300,50,88,622,2205,1608,702,1441,3767,1496,2279,3580,27,317,190,23,1379,42,235,526,111,328
221,174,29,11,6,0,7,12,15,3,31,18,173,1070,91,10,19,185,917,651,332,577,1558,664,1029,1408,14,64,43,11,311,9,69,116,36,73
3192,2572,1409,176,390,39,9856,1508,421,114,476,6689,2092,153,285,262,1688,1575,285,370,3485,928,814,547,416,1533,512,378,264,3265,1306,1317,4265,729,3408,1085
276,239,258,111,8,9,29,9,13,14,40,23,180,577,18,16,20,87,445,343,245,276,858,334,528,676,23,45,138,128,191,61,43,69,1007,32
3941,3959,870,219,483,101,2423,494,1216,262,1160,1787,2582,373,513,846,669,1995,755,565,1206,721,1491,963,940,2345,778,479,543,982,1784,2961,1907,1648,1683,1152
1711,1632,489,64,232,40,3987,577,464,101,590,3144,1107,126,254,243,683,930,210,198,1737,479,417,346,612,847,155,164,343,1188,814,524,2041,838,1629,630
4406,3113,961,102,760,148,1325,232,561,436,2059,998,3002,399,426,616,351,2216,375,411,589,534,1086,885,1208,1820,287,499,674,535,1415,1297,1960,2027,1271,968
7678,6325,2902,68,850,116,23500,3503,517,339,1058,17794,4854,322,322,540,3668,4004,275,654,9162,2292,730,1072,943,2773,298,818,494,8191,3354,1110,9737,1524,8411,2449
